pattern,term1,term2,weight1,weight2,combined_weight,type,file,global_avg_weight,normalized_combined
ADJ+NOUN,▁Compare▁and▁contrast▁microevolution▁and▁macroevolution.,<,844.9842548370361,0.0,844.9842548370361,retrieval,query_56_7.pkl,131.3515304989285,6.432998927590943
ADJ+NOUN,<,s,0.0,0.0,0.0,retrieval,query_49_1.pkl,120.54434318542481,0.0
ADJ+NOUN,>,▁query,0.0,143.00247955322266,143.00247955322266,retrieval,query_49_1.pkl,120.54434318542481,1.1863060163117907
ADJ+NOUN,<,/s,0.0,0.0,0.0,retrieval,query_49_1.pkl,120.54434318542481,0.0
ADJ+NOUN,<,s,0.0,0.0,0.0,retrieval,query_34_1.pkl,113.26615609063043,0.0
ADJ+NOUN,>,▁query,0.0,136.43724060058594,136.43724060058594,retrieval,query_34_1.pkl,113.26615609063043,1.204572003762669
ADJ+NOUN,▁Tell▁me▁about▁the▁Bronze▁Age▁collapse.,<,819.8898582458496,0.0,819.8898582458496,retrieval,query_34_1.pkl,113.26615609063043,7.238612896775724
ADJ+NOUN,<,s,0.0,0.0,0.0,retrieval,query_32_3.pkl,106.88046599510643,0.0
ADJ+NOUN,>,▁query,0.0,143.0303955078125,143.0303955078125,retrieval,query_32_3.pkl,106.88046599510643,1.338227656252558
ADJ+NOUN,▁Tell▁me▁more▁about▁tiger▁sharks.,<,818.830976486206,0.0,818.830976486206,retrieval,query_32_3.pkl,106.88046599510643,7.661184565977628
ADJ+NOUN,<,s,0.0,0.0,0.0,retrieval,query_54_8.pkl,73.22425451278687,0.0
ADJ+NOUN,>,▁query,0.0,60.86092758178711,60.86092758178711,retrieval,query_54_8.pkl,73.22425451278687,0.8311580361826586
ADJ+NOUN,<,/s,0.0,0.0,0.0,retrieval,query_54_8.pkl,73.22425451278687,0.0
ADJ+NOUN,<,s,0.0,0.0,0.0,retrieval,query_33_3.pkl,84.02746324539184,0.0
ADJ+NOUN,>,▁query,0.0,113.98705673217773,113.98705673217773,retrieval,query_33_3.pkl,84.02746324539184,1.3565452571059131
ADJ+NOUN,<,/s,0.0,0.0,0.0,retrieval,query_33_3.pkl,84.02746324539184,0.0
ADJ+NOUN,<,s,0.0,0.0,0.0,retrieval,query_67_6.pkl,149.250559425354,0.0
ADJ+NOUN,>,▁query,0.0,128.33564567565918,128.33564567565918,retrieval,query_67_6.pkl,149.250559425354,0.8598670997936515
ADJ+NOUN,<,/s,0.0,0.0,0.0,retrieval,query_67_6.pkl,149.250559425354,0.0
ADJ+NOUN,<,s,0.0,0.0,0.0,retrieval,query_37_4.pkl,84.24569721221924,0.0
ADJ+NOUN,>,▁query,0.0,74.53579521179199,74.53579521179199,retrieval,query_37_4.pkl,84.24569721221924,0.8847430513161104
ADJ+NOUN,<,/s,0.0,0.0,0.0,retrieval,query_37_4.pkl,84.24569721221924,0.0
ADJ+NOUN,specific,food,0.12797141784530822,0.0609149665174922,0.18888638436280042,generation,Llama-3.1-8B-Instruct_qid_81.pkl,0.275943371881788,0.6845114020122863
ADP+NOUN,in,products,0.04284690339310443,0.03712118779068436,0.07996809118378878,generation,Llama-3.1-8B-Instruct_qid_81.pkl,0.275943371881788,0.2897989201133865
DET+NOUN,the,Standard,0.5389673286902086,0.6645616493049434,1.203528977995152,generation,Llama-3.1-8B-Instruct_qid_81.pkl,0.275943371881788,4.361507108461131
ADP+NOUN,for,Chili,0.5423717314658822,0.3292248837503353,0.8715966152162176,generation,Llama-3.1-8B-Instruct_qid_81.pkl,0.275943371881788,3.158606815856417
ADJ+NOUN,allowable,concentrations,0.49349990188241927,0.35930216030493684,0.8528020621873561,generation,Llama-3.1-8B-Instruct_qid_81.pkl,0.275943371881788,3.0904966347685634
DET+NOUN,the,quality,0.3240126274688657,0.32273329949929463,0.6467459269681604,generation,Llama-3.1-8B-Instruct_qid_66.pkl,0.5052445175592282,1.280065205046672
ADJ+NOUN,olive,oil,0.24162587334670865,0.09329079745677255,0.3349166708034812,generation,Llama-3.1-8B-Instruct_qid_66.pkl,0.5052445175592282,0.6628803661669026
DET+NOUN,the,regulations,0.04561171133908563,0.06113317491695789,0.10674488625604352,generation,Llama-3.1-8B-Instruct_qid_72.pkl,0.2717252511367983,0.3928412461096724
DET+NOUN,the,display,0.14922284808135006,0.05057701832655733,0.1997998664079074,generation,Llama-3.1-8B-Instruct_qid_72.pkl,0.2717252511367983,0.7353010644834015
ADJ+NOUN,nutrient,information,0.05049466901966899,0.06162487233045165,0.11211954135012064,generation,Llama-3.1-8B-Instruct_qid_72.pkl,0.2717252511367983,0.4126209871223002
ADP+NOUN,on,prepackaged,0.14990866851800327,0.6732143647741569,0.8231230332921602,generation,Llama-3.1-8B-Instruct_qid_72.pkl,0.2717252511367983,3.0292474838040144
ADJ+NOUN,available,display,0.4162188442375752,0.2788426280501832,0.6950614722877584,generation,Llama-3.1-8B-Instruct_qid_72.pkl,0.2717252511367983,2.5579568677547537
VERB+NOUN,info,need,0.15465971382132643,0.05154075180686181,0.20620046562818822,generation,Llama-3.1-8B-Instruct_qid_89.pkl,0.23608519416859317,0.8734154903459822
ADP+NOUN,on,labels,0.04287219315158779,0.07836053439247383,0.12123272754406161,generation,Llama-3.1-8B-Instruct_qid_89.pkl,0.23608519416859317,0.513512623995755
ADJ+NOUN,alcoholic,drinks,0.06420541729273085,0.23802017794167296,0.30222559523440384,generation,Llama-3.1-8B-Instruct_qid_89.pkl,0.23608519416859317,1.2801548030097072
ADP+NOUN,like,expiration,0.41704895204283154,0.5275561173968328,0.9446050694396644,generation,Llama-3.1-8B-Instruct_qid_89.pkl,0.23608519416859317,4.001119480474929
ADJ+NOUN,regulatory,objectives,0.4996570896514204,0.3602708595037389,0.8599279491551592,generation,Llama-3.1-8B-Instruct_qid_74.pkl,0.7257227902438548,1.1849262014580104
DET+NOUN,the,Agency,0.30285997138605325,0.24216914030179923,0.5450291116878525,generation,Llama-3.1-8B-Instruct_qid_74.pkl,0.7257227902438548,0.7510155654677921
